,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,On2AOebFricx-pOWHP-VwQ,eggsquisite-cafe-midlothian-midlothian,Eggsquisite Cafe - Midlothian,https://s3-media4.fl.yelpcdn.com/bphoto/ji94s_oo8J_ijEuxrNK0AQ/o.jpg,False,https://www.yelp.com/biz/eggsquisite-cafe-midlothian-midlothian?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,97,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",5.0,"{'latitude': 32.4612382, 'longitude': -96.9923567}",[],$$,"{'address1': '2050 Fm 663', 'address2': '', 'address3': None, 'city': 'Midlothian', 'zip_code': '76065', 'country': 'US', 'state': 'TX', 'display_address': ['2050 Fm 663', 'Midlothian, TX 76065']}",+14696726307,(469) 672-6307,46436.933216390695
1,AA0q8D3OA9ULN_hsOk6PGA,eggsquisite-cafe-rockwall-rockwall,Eggsquisite Cafe - Rockwall,https://s3-media3.fl.yelpcdn.com/bphoto/5XMEomLhgM3ZF7w-3v7TxQ/o.jpg,False,https://www.yelp.com/biz/eggsquisite-cafe-rockwall-rockwall?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,392,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'creperies', 'title': 'Creperies'}]",4.5,"{'latitude': 32.888618, 'longitude': -96.47253}",['delivery'],$$,"{'address1': '2951 Ridge Rd', 'address2': '', 'address3': None, 'city': 'Rockwall', 'zip_code': '75032', 'country': 'US', 'state': 'TX', 'display_address': ['2951 Ridge Rd', 'Rockwall, TX 75032']}",+14697691350,(469) 769-1350,25514.634454792795
2,sg-zuN6RbT_BG_b8hh3Njw,b2j-fish-soup-plano,B2J Fish Soup,https://s3-media1.fl.yelpcdn.com/bphoto/kg7j4Hd6C8ccyTh00IAQ5w/o.jpg,False,https://www.yelp.com/biz/b2j-fish-soup-plano?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,208,"[{'alias': 'szechuan', 'title': 'Szechuan'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",4.5,"{'latitude': 33.05795, 'longitude': -96.69576}","['delivery', 'pickup']",$$,"{'address1': '151 W Spring Creek Pkwy', 'address2': 'Ste 517', 'address3': '', 'city': 'Plano', 'zip_code': '75023', 'country': 'US', 'state': 'TX', 'display_address': ['151 W Spring Creek Pkwy', 'Ste 517', 'Plano, TX 75023']}",+14693675443,(469) 367-5443,27082.887293848737
3,mZCauegf1Z4sV0fSaMwu-g,the-cookshack-fort-worth,The Cookshack,https://s3-media1.fl.yelpcdn.com/bphoto/z8DTouw85FFDBrn86T7FSw/o.jpg,False,https://www.yelp.com/biz/the-cookshack-fort-worth?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,482,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 32.7536605, 'longitude': -97.36159687055225}","['delivery', 'pickup']",$$,"{'address1': '500 University Dr', 'address2': None, 'address3': '', 'city': 'Fort Worth', 'zip_code': '76107', 'country': 'US', 'state': 'TX', 'display_address': ['500 University Dr', 'Fort Worth, TX 76107']}",+18173679151,(817) 367-9151,59282.670152166625
4,hrJRcKKWu180mSNFspS_lg,eggsquisite-cafe-southlake-southlake,Eggsquisite Cafe - Southlake,https://s3-media2.fl.yelpcdn.com/bphoto/4dQatTsEbXxELyQImFuFNQ/o.jpg,False,https://www.yelp.com/biz/eggsquisite-cafe-southlake-southlake?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,337,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'creperies', 'title': 'Creperies'}]",4.5,"{'latitude': 32.942223, 'longitude': -97.117341}","['delivery', 'pickup']",$$,"{'address1': '260 N Kimball Ave', 'address2': '', 'address3': None, 'city': 'Southlake', 'zip_code': '76092', 'country': 'US', 'state': 'TX', 'display_address': ['260 N Kimball Ave', 'Southlake, TX 76092']}",+16824774411,(682) 477-4411,38606.866967375776
5,AiUNYlBwLaoFU3Lj2ABkgA,tuckers-grill-and-taqueria-mesquite,Tucker's Grill & Taqueria,https://s3-media4.fl.yelpcdn.com/bphoto/o_vA2FNGwoQoZREY6rDJew/o.jpg,False,https://www.yelp.com/biz/tuckers-grill-and-taqueria-mesquite?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,397,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 32.80269, 'longitude': -96.62376}",['delivery'],$,"{'address1': '2604 Towne Centre Dr', 'address2': '', 'address3': '', 'city': 'Mesquite', 'zip_code': '75150', 'country': 'US', 'state': 'TX', 'display_address': ['2604 Towne Centre Dr', 'Mesquite, TX 75150']}",+19726865522,(972) 686-5522,10223.85813755925
6,nFcfHVFlwmGFSRdacqMijQ,pineapple-grill-texas-hurst,Pineapple Grill Texas,https://s3-media2.fl.yelpcdn.com/bphoto/kS8txdMZ3z5cyKArsF__9g/o.jpg,False,https://www.yelp.com/biz/pineapple-grill-texas-hurst?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,267,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",4.5,"{'latitude': 32.85122648995657, 'longitude': -97.16976882331335}","['delivery', 'pickup']",$$,"{'address1': '121 E Harwood Rd', 'address2': '', 'address3': None, 'city': 'Hurst', 'zip_code': '76054', 'country': 'US', 'state': 'TX', 'display_address': ['121 E Harwood Rd', 'Hurst, TX 76054']}",+18178495556,(817) 849-5556,41093.687346984676
7,9vpcomT2Tzghd4lYhBwtdw,madeas-down-home-cooking-fort-worth,Madea's Down Home Cooking,https://s3-media2.fl.yelpcdn.com/bphoto/2ZePzy0NMW0TMykZWGaqlg/o.jpg,False,https://www.yelp.com/biz/madeas-down-home-cooking-fort-worth?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,451,"[{'alias': 'soulfood', 'title': 'Soul Food'}]",4.5,"{'latitude': 32.63076, 'longitude': -97.29685}",['delivery'],$$,"{'address1': '1019 W Enon Ave', 'address2': 'Ste D', 'address3': '', 'city': 'Fort Worth', 'zip_code': '76140', 'country': 'US', 'state': 'TX', 'display_address': ['1019 W Enon Ave', 'Ste D', 'Fort Worth, TX 76140']}",+18175519295,(817) 551-9295,56764.38379931996
8,ocrgHPhS8SUj2R-agO_SCg,sushi-go-arlington,Sushi Go,https://s3-media2.fl.yelpcdn.com/bphoto/rxnq4HV7fciwlr0daGjLeA/o.jpg,False,https://www.yelp.com/biz/sushi-go-arlington?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,118,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.5,"{'latitude': 32.65872, 'longitude': -97.16846}",['delivery'],$$,"{'address1': '3851 SW Green Oaks Blvd', 'address2': 'Ste 113', 'address3': '', 'city': 'Arlington', 'zip_code': '76017', 'country': 'US', 'state': 'TX', 'display_address': ['3851 SW Green Oaks Blvd', 'Ste 113', 'Arlington, TX 76017']}",+18176725253,(817) 672-5253,44449.63052847974
9,BbYl_rVZDFPQyT6tuNQDBw,up-inspired-kitchen-frisco,Up Inspired Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/V_iJ-9Skhles0AwTTDLZVQ/o.jpg,False,https://www.yelp.com/biz/up-inspired-kitchen-frisco?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,418,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"{'latitude': 33.1219652678919, 'longitude': -96.8236256344316}","['delivery', 'pickup']",$$,"{'address1': '5285 Dallas Pkwy', 'address2': 'Ste 400', 'address3': None, 'city': 'Frisco', 'zip_code': '75034', 'country': 'US', 'state': 'TX', 'display_address': ['5285 Dallas Pkwy', 'Ste 400', 'Frisco, TX 75034']}",+14695794197,(469) 579-4197,35015.96257331204
10,cI2rGp-aEe8PWPDBsIxwIw,daynes-craft-barbecue-fort-worth,Dayne's Craft Barbecue,https://s3-media4.fl.yelpcdn.com/bphoto/2-qoQ_LmVMggQ1NF0etozg/o.jpg,False,https://www.yelp.com/biz/daynes-craft-barbecue-fort-worth?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,84,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'foodstands', 'title': 'Food Stands'}]",5.0,"{'latitude': 32.72521749601281, 'longitude': -97.49598681127782}",['delivery'],$$,"{'address1': '9840 Camp Bowie W Blvd', 'address2': None, 'address3': '', 'city': 'Fort Worth', 'zip_code': '76116', 'country': 'US', 'state': 'TX', 'display_address': ['9840 Camp Bowie W Blvd', 'Fort Worth, TX 76116']}",+16824720181,(682) 472-0181,72161.56277175315
11,zoMzSQIAXAh_yVMo19_TXQ,limons-restaurant-dallas,Limon's Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/9Kq3jv4_yUc2LPvF6kL-ig/o.jpg,False,https://www.yelp.com/biz/limons-restaurant-dallas?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,157,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'empanadas', 'title': 'Empanadas'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",4.5,"{'latitude': 32.7496749, 'longitude': -96.8715866}","['delivery', 'pickup']",$$,"{'address1': '3105 W Davis St', 'address2': '', 'address3': '', 'city': 'Dallas', 'zip_code': '75211', 'country': 'US', 'state': 'TX', 'display_address': ['3105 W Davis St', 'Dallas, TX 75211']}",+12143300947,(214) 330-0947,15034.347839551654
12,vOUOAoPRW27oNJFJLhkNNQ,pappas-bros-steakhouse-dallas,Pappas Bros. Steakhouse,https://s3-media4.fl.yelpcdn.com/bphoto/pJjvgTwcEvUcofvyA0r-zQ/o.jpg,False,https://www.yelp.com/biz/pappas-bros-steakhouse-dallas?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,1220,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"{'latitude': 32.8668273689937, 'longitude': -96.8977529669342}",['delivery'],$$$$,"{'address1': '10477 Lombardy Ln', 'address2': '', 'address3': '', 'city': 'Dallas', 'zip_code': '75220', 'country': 'US', 'state': 'TX', 'display_address': ['10477 Lombardy Ln', 'Dallas, TX 75220']}",+12143662000,(214) 366-2000,16472.237090838746
13,t5_jvHbw71BnL8RySLeMFQ,devivo-bros-eatery-keller-3,DeVivo Bros. Eatery,https://s3-media1.fl.yelpcdn.com/bphoto/Jj9Dltgb7r0RTaItc0VBVQ/o.jpg,False,https://www.yelp.com/biz/devivo-bros-eatery-keller-3?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,1041,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",4.5,"{'latitude': 32.92355035212881, 'longitude': -97.25480794002745}","['delivery', 'pickup']",$$,"{'address1': '750 S Main St', 'address2': 'Ste 165', 'address3': '', 'city': 'Keller', 'zip_code': '76248', 'country': 'US', 'state': 'TX', 'display_address': ['750 S Main St', 'Ste 165', 'Keller, TX 76248']}",+18174316890,(817) 431-6890,50265.12755034733
14,IUkFHs9kPUEmkSVaJSIPfw,babes-chicken-dinner-house-roanoke,Babe's Chicken Dinner House,https://s3-media1.fl.yelpcdn.com/bphoto/sbnrvyhN3obgV9dUMT9lwg/o.jpg,False,https://www.yelp.com/biz/babes-chicken-dinner-house-roanoke?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,996,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}]",4.5,"{'latitude': 32.99886, 'longitude': -97.22882}",['delivery'],$$,"{'address1': '104 N Oak St', 'address2': '', 'address3': '', 'city': 'Roanoke', 'zip_code': '76262', 'country': 'US', 'state': 'TX', 'display_address': ['104 N Oak St', 'Roanoke, TX 76262']}",+18174912900,(817) 491-2900,50626.07897522608
15,OY6qbyYqrovzk9qK9TrUDg,scrambler-cafe-murphy-murphy,Scrambler Cafe - Murphy,https://s3-media3.fl.yelpcdn.com/bphoto/wQSQ-ceih3UrZRl6QLaKag/o.jpg,False,https://www.yelp.com/biz/scrambler-cafe-murphy-murphy?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,146,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"{'latitude': 33.01185231698113, 'longitude': -96.6048533906046}",[],$$,"{'address1': '231 E Fm 544', 'address2': 'Ste 709', 'address3': '', 'city': 'Murphy', 'zip_code': '75094', 'country': 'US', 'state': 'TX', 'display_address': ['231 E Fm 544', 'Ste 709', 'Murphy, TX 75094']}",+14693675306,(469) 367-5306,24736.49376134126
16,Z1y_Kmy9zbBx4TNkGK1TAg,ka-thai-dallas,Ka Thai,https://s3-media4.fl.yelpcdn.com/bphoto/GR8xWi3C8yC7rzKIA7LVBQ/o.jpg,False,https://www.yelp.com/biz/ka-thai-dallas?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,394,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.5,"{'latitude': 32.80291261733748, 'longitude': -96.79951032005457}","['delivery', 'pickup']",$$,"{'address1': '3220 Mckinney Ave', 'address2': 'Ste 120', 'address3': '', 'city': 'Dallas', 'zip_code': '75204', 'country': 'US', 'state': 'TX', 'display_address': ['3220 Mckinney Ave', 'Ste 120', 'Dallas, TX 75204']}",+14692917995,(469) 291-7995,6502.135680421315
17,-Y7lHLK6zVzpS74d92wTBQ,frisco-diner-frisco,Frisco Diner,https://s3-media1.fl.yelpcdn.com/bphoto/Ok6b8RWfIcLqIuueUg3Qew/o.jpg,False,https://www.yelp.com/biz/frisco-diner-frisco?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,503,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"{'latitude': 33.15476372578948, 'longitude': -96.83949785325906}",['delivery'],$$,"{'address1': '9250 Dallas Pkwy', 'address2': 'Ste 160', 'address3': '', 'city': 'Frisco', 'zip_code': '75033', 'country': 'US', 'state': 'TX', 'display_address': ['9250 Dallas Pkwy', 'Ste 160', 'Frisco, TX 75033']}",+12146180652,(214) 618-0652,38917.611587316795
18,eTwZfY16pj-8KhE34gKhyQ,sankofa-kitchen-dallas,Sankofa Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/kw0kBnJF5OjDk8PxL2kJ-w/o.jpg,False,https://www.yelp.com/biz/sankofa-kitchen-dallas?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,224,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"{'latitude': 32.663179, 'longitude': -96.8751668}",['pickup'],$$,"{'address1': '3333 W Camp Wisdom Rd', 'address2': 'Ste 118', 'address3': None, 'city': 'Dallas', 'zip_code': '75237', 'country': 'US', 'state': 'TX', 'display_address': ['3333 W Camp Wisdom Rd', 'Ste 118', 'Dallas, TX 75237']}",+19722960940,(972) 296-0940,21695.55277238665
19,ueeTNYpc5J6TYvRtj-b5aQ,sunview-cafe-allen,Sunview Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/KgFIK-QLuWn6fU7gXz1ocA/o.jpg,False,https://www.yelp.com/biz/sunview-cafe-allen?adjust_creative=f5X131tWxhvzA7iwIKRuWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f5X131tWxhvzA7iwIKRuWw,593,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"{'latitude': 33.1292837694205, 'longitude': -96.6738241238548}","['delivery', 'pickup']",$$,"{'address1': '939 W Stacy Rd', 'address2': 'Ste 100', 'address3': '', 'city': 'Allen', 'zip_code': '75013', 'country': 'US', 'state': 'TX', 'display_address': ['939 W Stacy Rd', 'Ste 100', 'Allen, TX 75013']}",+19729547400,(972) 954-7400,35186.635540530006
